Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Procurement Analytics Development and Visualization Analyst,-1,Analyst,"Job Profile Summary
This role will contribute to the creation of analytical products that will meet the different business needs as well as help drive efficiency through standardization & simplification.
Job Advert
This role will contribute to the creation of analytical products that will meet the different business needs as well as help drive efficiency through standardization & simplification.
Key Responsibilities
Demonstrate understanding of standard data management principles, procedures and tools. Is aware of data security requirements.
Understand basic terminology/concepts, processes, and source documentation associated with the Procurement functions.
Key Requirements",bp,3.9,Kuala Lumpur,10000+ Employees,1908,Company - Public,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
Analyst - Analytics & Cognitive - MY,-1,Data Analyst,"Analyst - Analytics & Cognitive - MY
Date: 01-Aug-2021
Service Line / Portfolios: Strategy, Growth & Innovation
Location: Kuala Lumpur, MY
Analyst - Analytics & Cognitive - ID

At Deloitte, we offer a unique and exceptional career experience to inspire and empower talent like you to make an impact that matters for our clients, people and community. Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.",Deloitte,3.9,Kuala Lumpur,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
,-1,Data Analyst,"Be a part of a revolutionary change

At PMI, we’ve chosen to do something incredible. We’re totally transforming our business, and building our future on smoke-free products with the power to improve the lives of a billion smokers worldwide.

With huge change, comes huge opportunity. So, wherever you join us, you’ll enjoy the freedom to dream up and deliver better, brighter solutions and the space to move your career forward in endlessly different directions.

PMI’s journey to a smoke-free future is fuelled by technology.

The total transformation we’re going through means that there are unique Digital projects here to match all levels of skills and ambitions – from pace-setting global pilot projects to vital local updates. Whether you want to pursue a personal passion or build an international career, there’s space here to develop in any number of directions.

To join us in Marketing & Digital you’ll need to be driven and equally happy whether you’re taking the strategic view or diving deep into processes. We'll make sure you're set up to succeed whatever your project is, our culture is agile and collaborative, and we genuinely believe our people are some of the best you’ll ever work with.

Your ‘day to day’

You will be accountable for 2 key responsibility:

? Insights Interpretation and collaboration:


? Reporting:

Who we’re looking for

A passionate talent who possesses:

What we offer

Our success depends on the men and women who come to work every single day with a sense of purpose and an appetite for progress. Join PMI and you too can:",Philip Morris International,4.0,Petaling Jaya,10000+ Employees,2008,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Seller Performance Analytics - Seller Management,-1,Sales Representative,"Job Description:
Research the market landscape and strategize Shopee's approach to managing Sellers
Analyze proprietary data to generate insights on the Seller behavior
Use data to explain new business developments and the root cause behind issues
Manage reporting and performance monitoring
Work with other teams in Shopee to capitalize on insights generated from the analyses
Other ad-hoc tasks as needed

Requirements:",Shopee,3.8,Kuala Lumpur,5001 to 10000 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Reporting & Statutory Analyst,-1,Reporting Analyst,"Reporting & Statutory Analyst
Would you like the opportunity to develop your career with a global energy company?
Do you enjoy working with financial data?
Be part of a team that keeps moving
Our Global Finance Controllership Team provides support for the business for technical accounting compliance, financial and operational internal controls, process simplification, and operational excellence to deliver accurate actual financial reporting and analysis.",Baker Hughes,3.8,Kuala Lumpur,10000+ Employees,-1,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$5 to $10 billion (USD)
Data Analyst (Digital Transformation),-1,Data Analyst,"4! The 4 essential elements that shape our culture: Inspired. Curious. Unbossed. Integrity. Our mission is to discover new ways to improve and extend peoples’ lives. Your passion to build, execute business plans to meet the sales goals, develop effective professional business relationships with Healthcare Professionals will help the world understand what these medicines do, why they matter and how Novartis is striving to reimagine medicine.

As a Data Analyst for Digital Transformation, you will support strategic business projects for Novartis Group, the CEO and the Executive Committee, with the aim of maximizing economic value and securing future competitive advantage. You will also support Senior Strategy Managers and Directors in projects around key Novartis products in major markets, that delivers substantially greater outcome improvement than from the product alone as well as substantially greater financial rewards for Novartis.



Your responsibilities include, but not limited to:",Novartis,4.2,Petaling Jaya,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Performance Analyst - Data Management,-1,Performance Analyst,"Apply analytical expertise and reporting services to key operations performance indicators in order to identify opportunities to improve service quality and drive down costs.
Highlight any performance deviations to the Duty Manager for action.
Use existing tools and methodology to conduct in-depth analysis to identify issues, problems and opportunities.
Develop or enhance tools and methodology to improve analytical and diagnostic effectiveness.
Conduct on-site observations and root cause analysis with business entities to accurately identify service gaps.
Prepare detailed analytical reports on these findings and list of possible remedies.",DHL,-1,Petaling Jaya,Unknown,-1,Subsidiary or Business Segment,-1,-1,Unknown / Non-Applicable
"Admin and Regulatory Reporting Analyst, PAR",-1,Reporting Analyst,"Job Description :
Assist in the preparation and consolidation of regulatory and management reporting on a period basis
Engagement with the respective stakeholders for data sanity checks and confirmation of information for data preparation to ensure information is accurate
Participate in any report automation projects to continuously streamline the reporting work process
Support in the department's compliance and administrative work if needed, such as BCP
Qualifications
Should have at least 1-2 year's working experience in Regulatory or Management reporting.",Oversea-chinese Banking Corporation Limited,3.6,Kuala Lumpur,10000+ Employees,1932,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Business Data Analytics,-1,Data Analyst,"Acts as the liaison among the stakeholders to elicit, analyze, document, communicate and validate business and system requirements using industry leading practices within the Data Analyst profession. Ensures all requirements are fulfilled by the technical design. Reviews the test plan, test cases and test scripts ensuring traceability to all requirements
Gather and maintain a wide array of data-related business processes and reporting
Active role in data analysis and interpretation
Prepare business documents and presentations for upper management and executives
Play a direct role in designing and developing reporting tools that are then deployed across the organization
Familiarity with SQL, MS Excel (Macro), Jira and Confuence to design and deploy reporting systems and guide STS team members on their use",Encora,4.2,Kuala Lumpur,5001 to 10000 Employees,2003,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
CX & Data Insight Analyst,-1,Data Analyst,"Position Snapshot


Location: MY
Company: Nestlé Malaysia
Full-time
Bachelor's Degree
3+ years of experience

Position Summary


Joining Nestlé means you are joining the largest Food and Beverage Company in the world. At our very core, we are a human environment - passionate people driven by the purpose of enhancing the quality of life and contributing to a healthier future. A Nestle career empowers you to make an impact locally and globally, as you are provided with the opportunity to make a mark and stand out, as long as you seek it. With Nestle, you are enabled and encouraged to grow not only as professionals, but also as people.
We are looking for a talent to understand Nespresso customer's behaviour and consumption patterns in order to plan and anticipate trends through statistical analysis of the customer base. Work collaboratively with the market to initiate CRM activities in order to increase customers' consumption and build loyalty. Target and optimize all direct marketing actions through database segmentation and perform return on investment analyses.",Nestle AG,4.1,Malaysia,10000+ Employees,1867,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Admin and Regulatory Reporting Analyst,-1,Reporting Analyst,"Assist in the preparation and consolidation of regulatory and management reporting on a period basis
Engagement with the respective stakeholders for data sanity checks and confirmation of information for data preparation to ensure information is accurate
Participate in any report automation projects to continuously streamline the reporting work process
Support in the department’s compliance and administrative work if needed, such as BCP
Qualifications
Should have at least 1-2 year’s working experience in Regulatory or Management reporting.",OCBC Bank,3.6,Kuala Lumpur,10000+ Employees,1932,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Master Data Analyst,-1,Data Analyst,"Job Ad
ABOUT YOUR ROLE:The key purpose of the Master Data Analyst is to help building an accurate and reliable enterprise information infrastructure in SAP for managing structured and unstructured data used in operational applications, data warehouses, business intelligence and analytics.YOUR RESPONSIBILITIES WILL INCLUDE (but are not limited to):•Data Accuracy: Manage SAP master databases and ensure data integrity•Data Cleansing and Consolidation: Consolidate data by eliminating inconsistent and redundant customer, vendor or article data thereby achieving accurate and consistent data description.•Data Validation: Understand and analyze the trustworthiness of the enterprise data and get continuous insight into data quality.•Master Data Maintenance: Manage and audit the growing data volumes in effective and timely manner. Regulate master data updates and additions with predefined change management workflow that can comply with regulations, improve business insight and achieve operational excellence. •Master Data Governance: Govern master data from initial creation to delivery across solutions by providing single version and consistent data.WHAT WE WILL BE LOOKING FOR IN YOU:•Solid ERP knowledge eg. SAP knowledge and working experience a plus•Proficient computer skills including Microsoft Outlook, Excel and Word•Minimum Relevant Experience: 2 years’ experience in a large multi-national organization or commercial & retail organization with financial system support or enterprise data maintenance related roles•Strong business acumen, attention to details, team player",VF Corporation,4.1,Kuala Lumpur,10000+ Employees,1889,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
"Analyst, Trade Surveillance, MM (Manual Monitoring)",-1,Analyst,"Job: Compliance
Primary Location: Asia-Malaysia-Bukit Jalil KL
Schedule: Full-time
Employee Status: Permanent
Posting Date: 03/Aug/2021, 7:08:52 AM
Unposting Date: Ongoing
About Standard Chartered
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.
To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.
We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.",Standard Chartered,3.9,Kuala Lumpur,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
SRM Data Analyst,MYR 10K - MYR 13K (Employer est.),Data Analyst,"SRM Data Analyst
“Digital Transformation is the process of re-imagining a business or an ecosystem of businesses through combining leading / emerging technologies with the eventual end goal of growing the business, making social impact and increasing stakeholder value, engagement and happiness.”
Bachelor's or Equivalent",ACCIONLABS SDN BHD,4.1,Kuala Lumpur,1001 to 5000 Employees,2011,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Analyst - Operations Transformation - MY,-1,Analyst,"Analyst - Operations Transformation - MY
Date: 20-Jul-2021
Service Line / Portfolios: Core Business Operations
Location: Kuala Lumpur, MY
At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and community. Whatever your aspirations, Deloitte offers you a highly inclusive, collaborative workplace and unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.",Deloitte,3.9,Kuala Lumpur,10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
"Data Analyst, Performance Management and Improvement -Subang",-1,Data Analyst,"Location:
Malaysia
Department: Supply Chain & Logistics
Location: Malaysia
Job Description
The Performance Management (PMI) team is in charge of developing, executing and managing the right Key Performance Indicators (KPI) and works closely with other functions within LEL to ensure the suitability of these KPIs and identify potential improvement points which can be performed. The PMI team also acts as the Project Management Office (PMO) for Sales Campaign preparation and performance monitoring.

The role will be reporting to the Head of Performance Management & Improvement.

Your Roles and Responsibilities include but not limited to:",Lazada,3.4,Malaysia,5001 to 10000 Employees,2012,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable
CX & Data Insight Analyst,MYR 48K - MYR 84K (Employer est.),Data Analyst,"Plan and develop CRM activities plan for both B2C and B2B with aim to build loyalty and drive consumption, taking into account International strategy and guidelines.
Leverage on customer insights from data analyses and post evaluations and make recommendations.
Identify customers most at risk of attrition and initiate programs to retain them
Optimization of CRM/marketing activities by defining market sectors and customer selection based on customer profiling and segmentation.
Setup campaigns in system/within the tools (Nessoft/Adobe)
Analyze and interpret data to gain deeper understanding of our customers to develop customer-led insights
Identify key trends and criteria that influence customer behaviour like consumption and loyalty.",Nestlé,4.1,Malaysia,10000+ Employees,1867,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
"MGR, Data Quality Analyst",-1,Data Analyst,"About UOB
United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices.
Our history spans more than 80 years. Over this time, we have been guided by our values — Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.
About the Department",United Overseas Bank (Malaysia) Bhd,3.5,Kuala Lumpur,10000+ Employees,1935,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD)
"Senior/Data Analyst, Risk Analytics (Malaysia)",-1,Data Analyst,"Get to know our Team:
Everyday, millions of users across Southeast Asia trust and rely on Grab to get them from point A to point B in the safest and most efficient way possible. The Integrity Team acts as guardians of all our users on Grab. As Risk Analysts within Integrity, we leverage our rich datasets to build insight and find solutions to problems ranging from safety to fraud. We're a hands-on team interested in the end to end data life-cycle, from analyzing the risky behavior of our consumers and identifying anomalies to building detection and prevention modules for any suspicious activities. If you're passionate about solving complex problems with immediate real-world impact, we want you!
The day-to-day activities:
Analyze massive passenger, driver, and merchant data to develop insights on user behaviors and/or risks",Grab,3.9,Petaling Jaya,1001 to 5000 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Workforce Budgeting and Planning Analyst,-1,Planning Analyst,"Job Description
Workforce Budgeting and Planning Analyst

Ensure a robust workforce budgeting plan is in place that meets operational needs and can be delivered within the agreed financial envelope over the period.
You will:
Manage the workforce budgeting planning strategies, processes and interventions that support the Group’s overall operating direction and strategy
Manage the integration of Workforce budgeting planning and Manpower Planning to deliver seamless services to the organization",AirAsia,4.0,Kuala Lumpur,10000+ Employees,2001,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"PAR, Retail Analyst",-1,Sales Analyst,"Preparation of portfolio risk reports on timely and accurate basis for senior management (including Board Risk, Credit Committees and Regulators) and Group office. Ensure timely escalation to the Senior Management on asset quality issues of the portfolios and/or any deviation from the pre-set risk thresholds, triggers and budget to the respective stakeholders
Work closely with stakeholders including Risk partners, Collections, Business partners to identify stress segments or pockets of opportunities to support risk and return strategies
Tracking of new product rollout to monitor the performance and success level of these initiatives.
Support data infrastructure development initiative within the department including data migration, data validation and datamart development.
Involve in Risk Scorecard strategy, monitoring and periodic assessment to ensure effectiveness and predictiveness of the scorecard is still intact",OCBC Bank,3.6,Kuala Lumpur,10000+ Employees,1932,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
"Sr Analyst, Data Management",-1,Analyst,"Ensure data consistency across the core business systems (JDE, SFDC, Anaplan, Qlik).

Key Responsibilities:
Provide complex root cause analysis, formulate, and propose alternative solutions and recommendations including providing guidance to stakeholders utilizing data management.
Define business terms and data quality rules while ensuring integrity and consistency.
Analyze data quality issues and provide solutions on data management with high complexity.
Drive the data quality of master data across the domains in assigned region.
Recommend and lead the implementation of continuous data process improvements and/or transformations to existing processes.",Edwards Lifesciences,4.1,Kuala Lumpur,10000+ Employees,1958,Company - Public,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Analyst,-1,Data Analyst,"How To Apply For Any of This Position:
Download the Consurv Personality Test on Google Play, and send the results along with your CV to hr@consurv.com.my

Data Analyst
Job Description
Develop and implement database systems
Data management and optimization – collection, cleansing",Consurv Technic,3.4,Ampang,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Data Analyst, Quality Assurance, Greater Asia",-1,Data Analyst,"Job Description
Job Description Summary
The incumbent is responsible to ensure appropriate metrics are defined, measured and analyzed for continuous improvement opportunity and Quality performance. Additionally, the incumbent will provide quantitative & qualitative analysis and insights relevant to the Greater Asia Quality Leadership Team (GA QLT) comfortable working on independent analytics projects and also be able to work with specialist experts on larger, more complex initiatives.Job Description
Translate the GA Quality directives into analytical projects, constantly asking the ""right questions"" to craft & refine potential hypotheses and outline the data visualization storyboard
Conduct analysis using in-house approved analytics tools and be comfortable to work with complex multiple data sources.","Becton, Dickinson and Company",3.9,Kuala Lumpur,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
Workday & Reporting Analyst,-1,Reporting Analyst,"Job Description
Workday & Reporting Analyst
As a Workday & Reporting Analyst, your role is to collect business requirements related to PAC (People & Culture) processes on Workday. You will be part of the People Operations team and will focus on improving the efficiency of our Global People & Culture organization through the use of technology and business processes. The incumbent will be responsible for leveraging AirAsia's Workday HCM system to ensure integrity, quality and effectiveness of information and processes. The role will provide system administration, including requirements gathering, solution design, and system configuration, testing, and troubleshooting. This role serves as a point-of-contact and subject matter expert for various functional areas within Workday which may include Core HR, Recruiting, Performance Management, Compensation, Learning, Organization management, and Position Management",AirAsia,4.0,Kuala Lumpur,10000+ Employees,2001,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Campaign Performance Analyst,-1,Performance Analyst,"Job Title
Campaign Performance Analyst
Job Description
In this role, you have the opportunity to:
The Campaign Performance Analyst is a central position but located in the region (is reporting into the DMEC Central Activation HUB).
The Campaign Performance Analyst empowers the activation hub team and the local market teams by providing the latest insights and reporting on activation from media, market shared to sales as well as baseline reporting leading to increased performance for the campaign and always-on of all in-hub activities. The role focus is on campaign performance analyses of hub activities and ongoing reporting on behalf of the market.",Philips,4.0,Remote,10000+ Employees,1891,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
"Data Analyst, Sustainability & Responsibility",MYR 47K - MYR 71K (Employer est.),Data Analyst,"Key Purpose of the Job:
Develop user account licenses house-keeping, develop analytics and reporting framework for Product Stewardship IT Platform (SARGE) and implement.
Act as Team Subject Matter Expert in managing SARGE platform, reporting on product and materials testing, root cause analysis and advisory to the Product Stewardship and sourcing teams as needed.
Develop value-add reports and dashboards, while providing data interpretation advisory for various internal audiences that enable business decision making.
Key Areas of Responsibility:
Collaborate with Digital Technology Department (DT) and E2Open to develop user account licensing management framework, implement and monitor user licenses based on this process flow.

Language Proficiency",VF Corporation,4.1,Pantai Valley,10000+ Employees,1889,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
Master Data Analyst (Mandarin Speaker),-1,Data Analyst,"Job Responsibilities:
Review the supplier set up forms, set up new suppliers or change existing vendors in SAP according to the Vendor Master Data SOP.
Validates and enters vendor data in MDGS platform based on the user requests
Validates and enters in MDGS platform for bank details, change requests
Approve the data and enhancements based on appropriate supporting
Verification of the bank details based on the SOP and ICFR requirements
Checks and verifies records sent by business as a final validation for user requests",Roche,4.3,Petaling Jaya,5001 to 10000 Employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Senior Data Analyst,-1,Data Analyst,"Job Description:
Establish processes to collect and analyze internal and external market data to derive business insights
Develop data-backed business strategies and support the business teams in executing the strategies
Establish processes and identify appropriate indicators to monitor performance and progress
Be the oracle that can spot dangers and pitfalls down-the-road by analyzing trends and taking a critical view of existing business strategy
Automate reporting processes as needed by the team and the company",Shopee,3.8,Kuala Lumpur,5001 to 10000 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
MDM Data Analyst,MYR 30K - MYR 54K (Employer est.),Data Analyst,"Great Career Progression Opportunities
Excellent Remuneration
About Our Client
Since their modest beginnings in 1972, in a greenfield site in Ireland, Kerry Group has grown from strength to strength to become a leading player in the global food and beverage industry.

This journey has been one of dynamic growth and strategic acquisition. As an organisation, Kerry Group never stands still and they are clear with their colleagues, customers and stakeholders; who they are, what they do, how they do it, where they are going and why they matter - they call this The Kerry Way.",Michael Page,3.7,Kuala Lumpur,201 to 500 Employees,-1,Company - Private,Security Services,Business Services,Unknown / Non-Applicable
Performance Analyst - Data Management,-1,Performance Analyst,"Apply analytical expertise and reporting services to key operations performance indicators in order to identify opportunities to improve service quality and drive down costs.
Highlight any performance deviations to the Duty Manager for action.
Use existing tools and methodology to conduct in-depth analysis to identify issues, problems and opportunities.
Develop or enhance tools and methodology to improve analytical and diagnostic effectiveness.
Conduct on-site observations and root cause analysis with business entities to accurately identify service gaps.
Prepare detailed analytical reports on these findings and list of possible remedies.",DHL,-1,Petaling Jaya,Unknown,-1,Subsidiary or Business Segment,-1,-1,Unknown / Non-Applicable
Seller Performance Analytics - Seller Management,-1,Sales Representative,"Job Description:
Research the market landscape and strategize Shopee's approach to managing Sellers
Use data to explain new business developments and the root cause behind issues
Manage reporting and performance monitoring
Work with other teams in Shopee to capitalize on insights generated from the analyses
Other ad-hoc tasks as needed

Requirements:",Shopee,3.8,Kuala Lumpur,5001 to 10000 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
,-1,Data Analyst,"Location:
Malaysia
Department: Supply Chain & Logistics
Job Description
The Performance Management (PMI) team is in charge of developing, executing and managing the right Key Performance Indicators (KPI) and works closely with other functions within LEL to ensure the suitability of these KPIs and identify potential improvement points which can be performed. The PMI team also acts as the Project Management Office (PMO) for Sales Campaign preparation and performance monitoring.

The role will be reporting to the Head of Performance Management & Improvement.

Your Roles and Responsibilities include but not limited to:",Lazada,3.4,Malaysia,5001 to 10000 Employees,2012,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable
"Senior Data Analyst, GFG Risk",-1,Data Analyst,"Job Description :

Everyday, millions of users across Southeast Asia trust and rely on Grab for a wide range of needs ranging from transportation, delivery to payments and financial services. The Grab Financial Group (GFG) Risk Team works to assess, mitigate and respond to a multitude of risks in order to keep the platform safe and secure for all users. As Risk Analysts, we leverage our rich datasets to build insight and find solutions to problems ranging from minimising user friction, improving security to combating fraud. We're a hands-on team interested in the end-to-end data life-cycle, from analyzing the risky behavior of our consumers and identifying anomalies to building detection and prevention modules for any suspicious activities. If you're passionate about solving complex problems with immediate real-world impact, we want you!
What you'll get to do

Analyze massive customer and merchant transactional data to develop insights on user behaviors and/or risks",GrabTaxi Pte Ltd,3.9,Malaysia,1001 to 5000 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Campaign Performance Analyst,-1,Performance Analyst,"Job Title
Campaign Performance Analyst
Job Description
In this role, you have the opportunity to:
The Campaign Performance Analyst is a central position but located in the region (is reporting into the DMEC Central Activation HUB).
The Campaign Performance Analyst empowers the activation hub team and the local market teams by providing the latest insights and reporting on activation from media, market shared to sales as well as baseline reporting leading to increased performance for the campaign and always-on of all in-hub activities. The role focus is on campaign performance analyses of hub activities and ongoing reporting on behalf of the market.",Philips,4.0,Remote,10000+ Employees,1891,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
"Admin and Regulatory Reporting Analyst, PAR",-1,Reporting Analyst,"Job Description :
Assist in the preparation and consolidation of regulatory and management reporting on a period basis
Engagement with the respective stakeholders for data sanity checks and confirmation of information for data preparation to ensure information is accurate
Participate in any report automation projects to continuously streamline the reporting work process
Support in the department's compliance and administrative work if needed, such as BCP
Qualifications
Should have at least 1-2 year's working experience in Regulatory or Management reporting.",Oversea-chinese Banking Corporation Limited,3.6,Kuala Lumpur,10000+ Employees,1932,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
"Data Analyst, Sustainability & Responsibility",MYR 47K - MYR 71K (Employer est.),Data Analyst,"Key Purpose of the Job:
Develop user account licenses house-keeping, develop analytics and reporting framework for Product Stewardship IT Platform (SARGE) and implement.
Act as Team Subject Matter Expert in managing SARGE platform, reporting on product and materials testing, root cause analysis and advisory to the Product Stewardship and sourcing teams as needed.
Develop value-add reports and dashboards, while providing data interpretation advisory for various internal audiences that enable business decision making.
Key Areas of Responsibility:
Collaborate with Digital Technology Department (DT) and E2Open to develop user account licensing management framework, implement and monitor user licenses based on this process flow.

Language Proficiency",VF Corporation,4.1,Pantai Valley,10000+ Employees,1889,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
"Senior/Data Analyst, Risk Analytics (Malaysia)",-1,Data Analyst,"Get to know our Team:
Everyday, millions of users across Southeast Asia trust and rely on Grab to get them from point A to point B in the safest and most efficient way possible. The Integrity Team acts as guardians of all our users on Grab. As Risk Analysts within Integrity, we leverage our rich datasets to build insight and find solutions to problems ranging from safety to fraud. We're a hands-on team interested in the end to end data life-cycle, from analyzing the risky behavior of our consumers and identifying anomalies to building detection and prevention modules for any suspicious activities. If you're passionate about solving complex problems with immediate real-world impact, we want you!
The day-to-day activities:
Analyze massive passenger, driver, and merchant data to develop insights on user behaviors and/or risks",Grab,3.9,Petaling Jaya,1001 to 5000 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"PAR, Retail Analyst",-1,Sales Analyst,"Preparation of portfolio risk reports on timely and accurate basis for senior management (including Board Risk, Credit Committees and Regulators) and Group office. Ensure timely escalation to the Senior Management on asset quality issues of the portfolios and/or any deviation from the pre-set risk thresholds, triggers and budget to the respective stakeholders
Work closely with stakeholders including Risk partners, Collections, Business partners to identify stress segments or pockets of opportunities to support risk and return strategies
Tracking of new product rollout to monitor the performance and success level of these initiatives.
Support data infrastructure development initiative within the department including data migration, data validation and datamart development.
Involve in Risk Scorecard strategy, monitoring and periodic assessment to ensure effectiveness and predictiveness of the scorecard is still intact",OCBC Bank,3.6,Kuala Lumpur,10000+ Employees,1932,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
"Data Analyst, Quality Assurance, Greater Asia",-1,Data Analyst,"The incumbent is responsible to ensure appropriate metrics are defined, measured and analyzed for continuous improvement opportunity and Quality performance. Additionally, the incumbent will provide quantitative & qualitative analysis and insights relevant to the Greater Asia Quality Leadership Team (GA QLT); comfortable working on independent analytics projects and also be able to work with specialist experts on larger, more complex initiatives.
Job Description
Translate the GA Quality directives into analytical projects, constantly asking the “right questions” to craft & refine potential hypotheses and outline the data visualization storyboard
Conduct analysis using in-house approved analytics tools and be comfortable to work with complex multiple data sources.
MYS Kuala Lumpur - Jalan Kerinchi",BD,3.9,Kuala Lumpur,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
Master Data Analyst (Mandarin Speaker),-1,Data Analyst,"Job Responsibilities:
Review the supplier set up forms, set up new suppliers or change existing vendors in SAP according to the Vendor Master Data SOP.
Validates and enters vendor data in MDGS platform based on the user requests
Validates and enters in MDGS platform for bank details, change requests
Approve the data and enhancements based on appropriate supporting
Verification of the bank details based on the SOP and ICFR requirements
Checks and verifies records sent by business as a final validation for user requests",Roche,4.3,Petaling Jaya,5001 to 10000 Employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Master Data Analyst,-1,Data Analyst,"Job Ad
ABOUT YOUR ROLE:The key purpose of the Master Data Analyst is to help building an accurate and reliable enterprise information infrastructure in SAP for managing structured and unstructured data used in operational applications, data warehouses, business intelligence and analytics.YOUR RESPONSIBILITIES WILL INCLUDE (but are not limited to):•Data Accuracy: Manage SAP master databases and ensure data integrity•Data Cleansing and Consolidation: Consolidate data by eliminating inconsistent and redundant customer, vendor or article data thereby achieving accurate and consistent data description.•Data Validation: Understand and analyze the trustworthiness of the enterprise data and get continuous insight into data quality.•Master Data Maintenance: Manage and audit the growing data volumes in effective and timely manner. Regulate master data updates and additions with predefined change management workflow that can comply with regulations, improve business insight and achieve operational excellence. •Master Data Governance: Govern master data from initial creation to delivery across solutions by providing single version and consistent data.WHAT WE WILL BE LOOKING FOR IN YOU:•Solid ERP knowledge eg. SAP knowledge and working experience a plus•Proficient computer skills including Microsoft Outlook, Excel and Word•Minimum Relevant Experience: 2 years’ experience in a large multi-national organization or commercial & retail organization with financial system support or enterprise data maintenance related roles•Strong business acumen, attention to details, team player",VF Corporation,4.1,Kuala Lumpur,10000+ Employees,1889,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD)
